iter	Passed	Remaining
0	3	395
1	7	359
2	10	337
3	12	303
4	15	292
5	18	283
6	20	273
7	23	265
8	25	258
9	28	253
10	30	247
11	33	243
12	35	238
13	38	234
14	40	230
15	42	223
16	44	216
17	46	211
18	48	205
19	49	198
20	51	192
21	52	186
22	54	180
23	55	174
24	56	169
25	57	164
26	58	159
27	60	154
28	61	150
29	62	145
30	63	141
31	64	137
32	65	132
33	66	128
34	66	124
35	67	120
36	68	116
37	68	112
38	69	108
39	70	105
40	71	102
41	71	98
42	71	95
43	72	92
44	73	89
45	74	87
46	75	84
47	75	82
48	76	79
49	77	77
50	77	74
51	78	72
52	79	70
53	80	68
54	80	65
55	81	63
56	81	61
57	82	59
58	83	57
59	84	56
60	84	54
61	85	52
62	86	50
63	86	48
64	87	47
65	88	45
66	89	43
67	89	42
68	90	40
69	91	39
70	92	37
71	92	36
72	93	34
73	94	33
74	94	31
75	95	30
76	96	28
77	97	27
78	97	25
79	98	24
80	99	23
81	99	21
82	100	20
83	101	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	108	8
93	109	6
94	110	5
95	110	4
96	111	3
97	112	2
98	112	1
99	113	0
